YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,10.21,4.69
2006,1,1,1,0.0,10.62,5.0
2006,1,1,2,0.0,10.36,4.87
2006,1,1,3,0.0,9.81,4.72
2006,1,1,4,0.0,10.22,5.01
2006,1,1,5,0.0,10.57,5.2
2006,1,1,6,0.0,10.38,5.29
2006,1,1,7,60.97,10.57,5.6
2006,1,1,8,264.77,12.92,6.69
2006,1,1,9,439.45,15.82,8.42
2006,1,1,10,569.38,17.97,8.94
2006,1,1,11,635.75,19.52,9.23
2006,1,1,12,634.97,20.49,9.55
2006,1,1,13,567.28,20.85,9.72
2006,1,1,14,436.7,20.61,9.73
2006,1,1,15,258.73,19.78,8.89
2006,1,1,16,62.53,17.5,6.81
2006,1,1,17,0.0,14.67,5.67
2006,1,1,18,0.0,13.15,5.41
2006,1,1,19,0.0,11.8,5.1
2006,1,1,20,0.0,10.07,3.99
2006,1,1,21,0.0,9.69,3.53
2006,1,1,22,0.0,9.14,3.06
2006,1,1,23,0.0,8.18,2.57
2006,1,2,0,0.0,6.24,2.47
2006,1,2,1,0.0,5.2,2.42
2006,1,2,2,0.0,4.51,2.33
2006,1,2,3,0.0,4.11,2.2
2006,1,2,4,0.0,3.95,2.13
2006,1,2,5,0.0,3.89,2.16
2006,1,2,6,0.0,3.73,2.27
2006,1,2,7,73.88,5.3,2.74
2006,1,2,8,244.55,8.87,3.75
2006,1,2,9,403.6,12.35,3.04
2006,1,2,10,496.15,17.03,3.58
2006,1,2,11,580.2,20.31,4.03
2006,1,2,12,596.33,21.89,4.23
2006,1,2,13,519.12,22.78,4.29
2006,1,2,14,426.45,23.0,4.23
2006,1,2,15,246.02,21.61,2.77
2006,1,2,16,56.55,16.66,1.73
2006,1,2,17,0.0,13.54,1.91
2006,1,2,18,0.0,12.44,2.05
2006,1,2,19,0.0,11.51,2.09
2006,1,2,20,0.0,10.68,2.03
2006,1,2,21,0.0,9.93,1.92
2006,1,2,22,0.0,9.28,1.85
2006,1,2,23,0.0,8.73,1.81
2006,1,3,0,0.0,8.26,1.82
2006,1,3,1,0.0,7.86,1.88
2006,1,3,2,0.0,7.6,1.96
2006,1,3,3,0.0,7.45,2.04
2006,1,3,4,0.0,7.3,2.1
2006,1,3,5,0.0,7.13,2.18
2006,1,3,6,0.0,6.94,2.27
2006,1,3,7,69.22,8.54,2.51
2006,1,3,8,247.93,12.62,3.54
2006,1,3,9,425.42,15.72,2.66
2006,1,3,10,548.9,19.8,2.65
2006,1,3,11,611.22,24.38,4.74
2006,1,3,12,611.72,25.95,5.28
2006,1,3,13,510.95,26.31,5.45
2006,1,3,14,379.7,25.94,5.25
2006,1,3,15,212.4,24.11,3.73
2006,1,3,16,44.03,18.96,2.32
2006,1,3,17,0.0,16.27,2.49
2006,1,3,18,0.0,15.75,2.74
2006,1,3,19,0.0,15.06,2.88
2006,1,3,20,0.0,14.35,2.92
2006,1,3,21,0.0,13.66,2.99
2006,1,3,22,0.0,12.89,3.07
