year,month,day,hour,GHI_W/m2,Temp_C,WindSpeed_m/s,datetime
2025,6,9,0,0.0,23.68,1.43,2025-06-09 00:00:00
2025,6,9,1,0.0,23.58,1.48,2025-06-09 01:00:00
2025,6,9,2,0.0,23.47,1.53,2025-06-09 02:00:00
2025,6,9,3,0.0,23.4,1.65,2025-06-09 03:00:00
2025,6,9,4,0.0,23.42,1.63,2025-06-09 04:00:00
2025,6,9,5,0.0,23.48,1.56,2025-06-09 05:00:00
2025,6,9,6,0.0,23.94,1.97,2025-06-09 06:00:00
2025,6,9,7,0.0,24.69,2.39,2025-06-09 07:00:00
2025,6,9,8,0.0,25.64,2.68,2025-06-09 08:00:00
2025,6,9,9,0.0,26.69,2.84,2025-06-09 09:00:00
2025,6,9,10,0.0,27.97,2.98,2025-06-09 10:00:00
2025,6,9,11,0.0,28.75,2.99,2025-06-09 11:00:00
2025,6,9,12,0.0,29.25,3.07,2025-06-09 12:00:00
2025,6,9,13,0.0,29.58,3.16,2025-06-09 13:00:00
2025,6,9,14,0.0,29.7,3.26,2025-06-09 14:00:00
2025,6,9,15,0.0,29.32,3.37,2025-06-09 15:00:00
2025,6,9,16,0.0,28.39,3.27,2025-06-09 16:00:00
2025,6,9,17,0.0,27.16,2.81,2025-06-09 17:00:00
2025,6,9,18,0.0,25.79,1.9,2025-06-09 18:00:00
2025,6,9,19,0.0,24.95,1.33,2025-06-09 19:00:00
2025,6,9,20,0.0,24.54,1.18,2025-06-09 20:00:00
2025,6,9,21,0.0,24.23,1.16,2025-06-09 21:00:00
2025,6,9,22,0.0,23.94,1.18,2025-06-09 22:00:00
2025,6,9,23,0.0,23.64,1.27,2025-06-09 23:00:00
2025,6,10,0,0.0,23.38,1.39,2025-06-10 00:00:00
2025,6,10,1,0.0,23.23,1.57,2025-06-10 01:00:00
2025,6,10,2,0.0,23.16,1.82,2025-06-10 02:00:00
2025,6,10,3,0.0,23.04,1.94,2025-06-10 03:00:00
2025,6,10,4,0.0,22.94,1.93,2025-06-10 04:00:00
2025,6,10,5,0.0,22.94,1.77,2025-06-10 05:00:00
2025,6,10,6,0.0,23.23,2.0,2025-06-10 06:00:00
2025,6,10,7,0.0,24.02,2.5,2025-06-10 07:00:00
2025,6,10,8,0.0,25.16,2.81,2025-06-10 08:00:00
2025,6,10,9,0.0,26.51,3.09,2025-06-10 09:00:00
2025,6,10,10,0.0,27.91,3.33,2025-06-10 10:00:00
2025,6,10,11,0.0,28.92,3.44,2025-06-10 11:00:00
2025,6,10,12,0.0,29.77,3.39,2025-06-10 12:00:00
2025,6,10,13,0.0,30.24,3.29,2025-06-10 13:00:00
2025,6,10,14,0.0,30.04,3.24,2025-06-10 14:00:00
2025,6,10,15,0.0,29.59,3.29,2025-06-10 15:00:00
2025,6,10,16,0.0,28.63,3.24,2025-06-10 16:00:00
2025,6,10,17,0.0,27.35,2.95,2025-06-10 17:00:00
2025,6,10,18,0.0,26.13,2.31,2025-06-10 18:00:00
2025,6,10,19,0.0,25.22,1.82,2025-06-10 19:00:00
2025,6,10,20,0.0,24.64,1.87,2025-06-10 20:00:00
2025,6,10,21,0.0,24.1,1.69,2025-06-10 21:00:00
2025,6,10,22,0.0,23.73,1.61,2025-06-10 22:00:00
2025,6,10,23,0.0,23.49,1.68,2025-06-10 23:00:00
2025,6,11,0,0.0,23.36,1.93,2025-06-11 00:00:00
2025,6,11,1,0.0,23.32,2.22,2025-06-11 01:00:00
2025,6,11,2,0.0,23.26,2.25,2025-06-11 02:00:00
2025,6,11,3,0.0,23.24,2.11,2025-06-11 03:00:00
2025,6,11,4,0.0,23.32,1.99,2025-06-11 04:00:00
2025,6,11,5,0.0,23.44,1.7,2025-06-11 05:00:00
2025,6,11,6,0.0,23.96,1.89,2025-06-11 06:00:00
2025,6,11,7,0.0,24.87,2.35,2025-06-11 07:00:00
2025,6,11,8,0.0,25.75,2.8,2025-06-11 08:00:00
2025,6,11,9,0.0,26.34,3.01,2025-06-11 09:00:00
2025,6,11,10,0.0,26.98,3.18,2025-06-11 10:00:00
2025,6,11,11,0.0,28.17,3.38,2025-06-11 11:00:00
2025,6,11,12,0.0,28.93,3.43,2025-06-11 12:00:00
2025,6,11,13,0.0,29.29,3.38,2025-06-11 13:00:00
2025,6,11,14,0.0,29.75,3.42,2025-06-11 14:00:00
2025,6,11,15,0.0,29.73,3.39,2025-06-11 15:00:00
2025,6,11,16,0.0,29.07,3.12,2025-06-11 16:00:00
2025,6,11,17,0.0,27.97,2.85,2025-06-11 17:00:00
